,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack � Brute Force,Web Attack � Sql Injection,Web Attack � XSS
BENIGN,952,16,6,2,5,0,2,0,0,5,9,1,0,0,2
Bot,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,991,0,0,0,0,0,0,0,0,0,9,0
DoS Hulk,0,0,0,0,999,0,0,0,0,0,0,0,0,1,0
DoS Slowhttptest,3,0,0,0,0,991,5,0,0,0,0,0,0,1,0
DoS slowloris,0,0,0,1,1,4,992,0,0,0,0,0,0,1,1
FTP-Patator,0,0,0,0,1,0,3,995,0,0,0,1,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
PortScan,3,0,0,0,0,0,0,0,0,0,997,0,0,0,0
SSH-Patator,0,0,0,0,1,0,0,0,0,0,0,996,0,3,0
Web Attack � Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,451,41,508
Web Attack � Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0
Web Attack � XSS,0,0,0,2,3,0,0,0,0,0,2,0,137,3,853
