Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
38345,11045994,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,3.259100086,0.543183348,2209198.8,4918924.655,11000000,2,0,0.0,0.0,0,0,11000000,2752922.25,5503652.582,11000000,2,0,0,0,0,20,100,0.090530558,0.45265279,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,37593.0,0.0,37593,37593,11000000.0,0.0,11000000,11000000,BENIGN
80,153148,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19.5888944,76574.0,46905.22122,109741,43407,153148,76574.0,46905.22122,109741,43407,0,0.0,0.0,0,0,0,0,0,0,96,0,19.5888944,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,242,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,61229688,20,18,2482,7584,596,0,124.1,186.5213125,1460,0,421.3333333,529.2779766,164.3973753,0.620613974,1654856.432,3719980.363,10000000,49,61200000,3222615.158,4756676.107,10100000,303,61200000,3598727.294,4911579.981,10100000,49,0,0,0,0,412,444,0.326638934,0.29397504,0,1460,258.1025641,408.0976273,166543.6734,0,0,0,1,0,0,0,0,0,264.8947368,124.1,421.3333333,412,0,0,0,0,0,0,20,2482,18,7584,8192,85,19,20,164706.3333,279678.1852,735597,50451,9994740.5,10127.38475,10000000,9976355,BENIGN
53,1168,2,2,94,220,47,47,47.0,0.0,110,110,110.0,0.0,268835.6164,3424.657534,389.3333333,632.3466876,1119,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,64,1712.328767,1712.328767,47,110,72.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,1,90.25,47.0,110.0,64,0,0,0,0,0,0,2,94,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
42657,43,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,23255.81395,23255.81395,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,135,345,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,781673,24,32,1111,56737,517,0,46.29166667,131.5639964,2920,0,1773.03125,940.5992422,74005.37053,71.64121058,14212.23636,42716.27185,148605,0,781598,33982.52174,63206.05372,162820,178,633068,20421.54839,53552.46954,170594,48,0,0,0,0,492,652,30.70337596,40.93783462,0,2920,1014.877193,1116.147169,1245784.503,0,0,0,1,0,0,0,0,1,1033.0,46.29166667,1773.03125,492,0,0,0,0,0,0,24,1111,32,56737,8192,245,23,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
44135,42,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,47619.04762,42.0,0.0,42,42,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,23809.52381,23809.52381,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,374,287,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
64969,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
56269,722,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2770.0831024931,722.0,0.0,722,722,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,1385.0415512465,1385.0415512465,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,349,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
