Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,77,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25974.02597,77.0,0.0,77,77,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12987.01299,12987.01299,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,236,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
53,30984,1,1,57,73,57,57,57.0,0.0,73,73,73.0,0.0,4195.713917,64.54944487,30984.0,0.0,30984,30984,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,32.27472244,32.27472244,57,73,62.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,93.5,57.0,73.0,32,0,0,0,0,0,0,1,57,1,73,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
8080,996658,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.06035772,6.020119238,199331.6,272262.1417,498729,470,996111,498055.5,1636.952198,499213,496898,996188,498094.0,1671.600431,499276,496912,0,0,0,0,92,60,3.010059619,3.010059619,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Bot
444,119261118,2794,2130,12264,7879536,4344,0,4.38940587,83.21163543,13032,0,3699.312676,2314.906035,66172.44692,41.28755526,24225.29311,152596.5581,995259,0,119000000,42699.91694,200852.4929,996402,0,119000000,56017.42696,228206.6403,995259,1,0,0,0,0,89408,68160,23.42758517,17.85997009,0,13032,1603.27797,2381.909586,5673493.274,0,0,0,0,1,0,0,0,0,1603.603574,4.38940587,3699.312676,89408,0,0,0,0,0,0,2794,12264,2130,7879536,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed
80,99608807,7,7,678,11595,330,0,96.85714286,159.2894939,7240,0,1656.428571,2566.885263,123.2119967,0.140549821,7662215.923,27500000.0,99200000,1,99500000,16600000.0,40500000.0,99200000,1,99600000,16600000.0,40500000.0,99200000,45,0,0,0,0,196,232,0.070274911,0.070274911,0,7240,818.6,1869.034197,3493288.829,1,0,0,0,0,0,0,0,1,877.0714286,96.85714286,1656.428571,196,0,0,0,0,0,0,7,678,7,11595,0,235,4,20,11028.0,0.0,11028,11028,99200000.0,0.0,99200000,99200000,DoS Hulk
444,119262215,2792,2110,13712,7878135,5792,0,4.911174785,110.3764478,14480,0,3733.71327,2366.09794,66172.23234,41.10270801,24334.26138,152902.2865,995350,0,119000000,42730.98065,200884.2122,996350,0,119000000,56549.17307,229177.9322,995350,1,0,0,0,0,89356,67520,23.41059991,17.6921081,0,14480,1610.776871,2414.090913,5827834.935,0,0,0,0,1,0,0,0,0,1611.105467,4.911174785,3733.71327,89356,0,0,0,0,0,0,2792,13712,2110,7878135,235,235,120,32,0.0,0.0,0,0,0.0,0.0,0,0,Heartbleed
80,33026758,203,104,43951,72195,602,0,216.5073892,228.6511756,1068,0,694.1826923,362.6732399,3516.724227,9.295493067,107930.5817,271290.2689,1272358,3,33000000,163483.1089,320326.0771,1272358,708,33000000,320646.7573,417032.9856,1272986,3,0,0,0,0,6504,3336,6.146531246,3.148961821,0,1068,377.0974026,360.7018993,130105.8602,0,0,0,1,0,0,0,0,0,378.3257329,216.5073892,694.1826923,6504,0,0,0,0,0,0,203,43951,104,72195,29200,1174,101,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � Brute Force
53,52899,2,2,96,180,48,48,48.0,0.0,90,90,90.0,0.0,5217.489934,75.61579614,17633.0,30474.59101,52822,1,76,76.0,0.0,76,76,1,1.0,0.0,1,1,0,0,0,0,40,64,37.80789807,37.80789807,48,90,64.8,23.00434742,529.2,0,0,0,0,0,0,0,0,1,81.0,48.0,90.0,40,0,0,0,0,0,0,2,96,2,180,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,5507786,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.726244629,1835928.667,3177381.946,5504853,159,5507786,2753893.0,3890444.942,5504853,2933,0,0.0,0.0,0,0,0,0,0,0,104,40,0.544683472,0.181561157,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web Attack � XSS
21,8864281,9,15,106,188,23,0,11.77777778,9.417772796,34,0,12.53333333,14.54975045,33.16681861,2.707495396,385403.5217,1003954.345,3271371,3,5550882,693860.25,1282374.6,2907867,49,8864161,633154.3571,1239679.533,3271371,3,0,0,0,0,296,488,1.015310774,1.692184623,0,34,11.76,12.61705195,159.19,0,0,0,1,0,0,0,0,1,12.25,11.77777778,12.53333333,296,0,0,0,0,0,0,9,106,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
